Time,Time_Code,x1,x2,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Score
2016,YR2016,India,IND,-1.550910392,1.702693292,0.481317045,-0.435720788,0.800495977,4.089853512,-1.695786975,3.587487162,-1.135225671,4.132046666,0.645077445,-1.925292658,14.25430228
2016,YR2016,Indonesia,IDN,-0.665628085,0.212585887,0.128960963,-0.662426574,1.200622408,0.621041152,0.004637553,0.664497928,-1.119554962,0.392428712,0.318279753,0.116601914,0.21700348
2016,YR2016,Ireland,IRL,0.647814742,-0.530486155,0.502941662,1.629723522,1.342610901,-0.821441971,0.169611721,0.329189647,0.770678732,2.440336814,-0.601544508,0.686167119,17.97593989
2016,YR2016,Israel,ISR,1.275443602,-0.140619082,0.87159543,-0.485543468,-0.665082845,-0.471949277,-0.603739486,0.417009535,-0.185458417,-0.069682187,-0.555530999,-0.049898472,4.952038862
2016,YR2016,Italy,ITA,0.329840718,0.356253131,-0.966524255,-0.588287917,0.040603255,-0.796278455,-0.757933278,-0.425458858,0.448047382,0.419442162,-0.702754651,-0.454205595,-6.23664261
2016,YR2016,Jamaica,JAM,-0.136950275,-0.305666015,-0.612300761,0.107854617,-0.935591047,0.365493202,-0.86773799,-0.621378988,-0.263234037,-0.510597348,0.019746617,-0.459806694,-11.00849957
2016,YR2016,Japan,JPN,0.704290107,1.527542009,-1.000714599,-0.860733201,0.383063144,-1.305436766,0.039866514,-1.113668835,-0.995750894,1.474029862,-0.538280407,0.264147941,0.431155074
2016,YR2016,Jordan,JOR,0.806026917,-0.365871733,1.449684231,-0.196500102,0.55347767,-0.319841808,-0.304884254,-0.476512787,-0.259666083,-1.825682517,-0.313235523,-2.815381897,-0.49761122
2016,YR2016,Kazakhstan,KAZ,0.539373901,-0.324869473,-0.003070082,-0.369776535,0.328997404,2.10466836,-0.174082065,-0.771975316,1.135473921,0.350791896,0.003534186,1.161847819,9.730059756
2016,YR2016,"Korea, Rep.",KOR,0.227478819,0.516332859,-0.361315443,-0.131179411,1.690281095,-0.885563448,0.432047966,-0.322140289,-1.424738399,0.786751622,-0.88188646,0.283686732,2.790613556
2016,YR2016,Kuwait,KWT,1.593428963,-0.39813903,1.849554368,0.12076708,0.973873245,0.52868211,0.713411736,-0.369480504,-0.84638815,-0.832168495,1.314940239,-0.386677988,20.03317151
2016,YR2016,Kyrgyz Republic,KGZ,-0.501686454,-0.393640437,0.520653657,-0.000231572,0.286731577,0.080471731,-0.987792388,0.631984501,0.933097644,-1.327115159,-0.288120297,0.255432527,-3.646308723
2016,YR2016,Lao PDR,LAO,-1.059051408,0.060174418,-0.700557941,0.30011286,-0.368913952,-0.091565937,1.162278477,1.403619527,-1.928765141,-1.032481913,5.135506595,0.699732422,-0.109751553
2016,YR2016,Latvia,LVA,0.313807855,-0.319076801,-2.160988136,0.277125328,-0.438734799,-0.399303438,0.965067295,-0.201082849,-0.031741693,-0.314592478,0.013450483,-0.568913951,-7.376692271
2016,YR2016,Lebanon,LBN,0.604483689,-0.197596308,0.748659063,0.16772801,-0.845673781,0.096164365,-1.518054252,-0.587467496,0.360420345,-1.003730545,-0.692765213,-1.005081305,-4.014905452
2016,YR2016,Lithuania,LTU,0.256648527,-0.387526928,-1.943754124,0.295909265,0.252056716,-0.410553958,0.855681898,0.198682001,0.588494137,-0.408090067,-0.407231396,-0.242026491,-3.84361031
2016,YR2016,Luxembourg,LUX,1.98735356,-0.376630505,0.800461369,4.641875474,-1.73081585,-0.012440462,0.040728181,1.309918307,1.071038115,2.282266403,0.981144476,0.296047067,35.35628284
2016,YR2016,Madagascar,MDG,-1.387877455,0.245907773,0.745952481,0.192115411,-0.465256964,-0.219259036,-0.373888037,-0.188376859,3.7126098,-0.252251411,1.220924396,3.332267933,4.499211056
2016,YR2016,Malaysia,MYS,-0.000149377,-0.156954347,-0.008030361,0.345518015,1.674957229,-0.292652697,0.380970387,0.155191882,-1.208553049,0.33348406,0.05756685,0.406978782,5.007070873
2016,YR2016,Maldives,MDV,-0.40535235,-0.119375625,1.794424224,1.814947003,-1.092892903,0.123345395,-2.193763339,0.711352007,-0.364454151,-0.213299728,-0.65424655,0.100330673,0.239741385
2016,YR2016,Mali,MLI,-1.575429926,0.041331499,1.681930379,-0.296411993,-0.690373742,-2.002618967,1.856874694,-0.032707892,0.524073371,-0.024044873,-0.326540408,-2.246872411,-11.87133992
2016,YR2016,Malta,MLT,1.005024901,-0.331347341,0.481022552,4.040296949,-1.373701395,0.53270518,-0.760870449,0.875586074,0.605681157,0.201533831,0.247442385,-0.763184572,18.15924087
2016,YR2016,Mauritius,MUS,-0.46476383,-0.316643999,-0.93096223,0.367919331,-0.397237474,-0.123247836,-1.132616158,0.464088519,0.037172839,-0.646376016,-0.975890879,-0.167084888,-12.32875272
2016,YR2016,Mexico,MEX,0.381777484,0.474407302,0.025576665,-0.26965131,0.521478595,0.208451316,-0.168304131,-0.038796807,0.274681681,-1.244793884,-0.484089108,-0.036808102,2.862982377
2016,YR2016,Moldova,MDA,-0.158867817,-0.549095652,-1.066455388,-0.209581287,-0.346289957,0.856630771,-0.221418995,0.866650983,1.029835147,-0.617386034,-1.286956432,-0.831002763,-7.63086315
2016,YR2016,Mongolia,MNG,0.477613522,-0.507707764,0.425074174,-0.112066346,-0.185308417,0.895588373,-0.028816436,-0.463892642,1.47430138,-0.453855116,2.06024392,-0.047287664,8.249942552
2016,YR2016,Morocco,MAR,-0.409214019,-0.402768392,0.188505814,-0.265805141,0.735485535,0.002530377,-0.984741839,-0.565939627,0.496133618,-0.131328023,-0.810627878,0.111857006,-6.300864206
2016,YR2016,Mozambique,MOZ,-1.609748743,-0.21701478,0.545873713,0.132931654,-0.639319941,-0.64099178,0.774421424,-0.400172494,0.258618157,1.888805022,1.339708475,0.881837472,-5.276098509
2016,YR2016,Myanmar,MMR,-1.244909479,-0.335149593,-0.462516097,-0.669473933,0.708926938,0.254394221,0.782937787,0.839416736,-0.943555231,0.174778924,-0.665798704,0.792226631,-8.690995947
2016,YR2016,Namibia,NAM,-1.047499182,-0.424215846,0.492817944,0.130522905,0.573735011,0.114399772,-0.838024248,-1.503429675,0.287471009,2.141246053,1.266289415,-0.423246689,-4.604155467
2016,YR2016,Nepal,NPL,-1.519844417,-0.036706989,-0.213608152,-0.172568667,-0.61029596,1.266924474,-1.108833286,-0.733459996,-0.448405555,-0.36807302,-0.515908196,3.472129605,-11.85277357
2016,YR2016,Netherlands,NLD,1.28904573,0.118193628,-0.117018428,0.686627875,-0.633584904,-0.367386929,0.042244931,-0.130459777,0.74089918,1.074706053,-0.435897839,0.237826037,11.10780022
2016,YR2016,New Zealand,NZL,1.398404067,-0.255889661,0.638163691,-0.961640452,-0.841281403,-0.552179123,-0.085635383,0.396612469,-0.465864786,0.206208179,-0.505146196,0.146351928,3.861830859
2016,YR2016,Nicaragua,NIC,-0.111222786,-0.371296101,0.106267496,-0.101709395,-0.042462093,0.449976563,0.117405336,0.649501526,-0.427303348,-1.118977559,-0.660857603,0.280479911,-2.751987642
2016,YR2016,Niger,NER,-1.809439089,-0.018471708,1.963032514,-0.590506532,-1.148219228,-2.007199341,1.16577009,-0.280906959,0.902017361,0.36567082,1.051116418,-2.006951271,-13.2439144
2016,YR2016,Nigeria,NGA,-1.442678397,0.374986355,1.043225902,-0.238605971,-1.361211544,2.817901268,0.31974758,-2.568266439,0.467574455,2.179348811,-0.553703974,-3.74345895,-10.36471295
2016,YR2016,North Macedonia,MKD,-0.565755181,-0.476249885,-1.12542068,0.067551408,1.8762513,-0.742107861,-0.374286052,-0.01918434,1.037722174,1.811227478,0.252477058,-0.056926401,-1.368739114
2016,YR2016,Norway,NOR,1.881016162,-0.300918997,0.414022185,-1.064075402,-0.68581153,-0.559417038,0.244618877,-0.247377471,-0.660933324,2.010669748,-0.034664951,0.619904165,9.92037904
2016,YR2016,Oman,OMN,0.762479202,-0.563740514,2.964394102,-0.338692618,2.941455838,-0.72684152,0.147781076,0.101659442,-0.205663549,0.006238779,-0.531409279,0.261518708,19.00238426
